index,raw_voters,reg,tik,valid_ballots,invalid_ballots,population,population_group
69580,1547,Самарская область,Отрадная городская,623,17,31945,4
63503,1972,Республика Татарстан (Татарстан),"Казань, Авиастроительная",1270,9,89704,5
36706,1617,Нижегородская область,"Дзержинск, Калининская",506,10,87260,5
45680,487,Пермский край,Березовская,257,6,36151,4
0,385,Алтайский край,Алтайская,174,4,37078,4
30469,2184,Московская область,Мытищинская городская,811,23,183098,6
82813,157,Удмуртская Республика,Увинская,104,2,29174,4
40164,2457,Омская область,"Омск, Октябрьская",744,18,128370,5
52510,135,Республика Башкортостан,Альшеевская,125,0,31109,4
83723,1451,Ульяновская область,"Ульяновск, Засвияжская N2",517,17,95956,5
33943,824,Московская область,Чеховская городская,312,7,106115,5
28615,1451,Ленинградская область,Волосовская,828,6,33833,4
73995,2202,Свердловская область,Первоуральская городская,1102,32,115934,5
52987,1725,Республика Башкортостан,Стерлитамакская городская,1109,8,203037,6
75117,153,Смоленская область,Монастырщинская,104,1,8179,4
84500,2581,Хабаровский край,"Хабаровск, Железнодорожная",972,29,110800,5
64561,1100,Ростовская область,"Ростов-на-Дону, Кировская",307,3,44992,4
12116,244,Забайкальский край,Чернышевская,127,5,24125,4
58061,1249,Республика Крым,Армянская городская,605,26,19713,4
6374,913,Брянская область,Суражская,538,12,17373,4
84069,2097,Хабаровский край,Советско-Гаванская,772,28,29015,4
52058,376,Республика Башкортостан,Зилаирская,360,0,11140,4
28151,1328,Курская область,Тимская,525,18,8593,4
79128,403,Томская область,Кожевниковская,149,19,15261,4
64412,1004,Ростовская область,Егорлыкская,445,0,24728,4
42830,466,Оренбургская область,Северная,290,26,17754,4
50894,192,Республика Башкортостан,Уфимская (4),150,0,35945,4
43066,564,Оренбургская область,Домбаровская,393,4,11447,4
5416,1393,Брянская область,"Брянск, Советская",948,3,103329,5
73666,190,Свердловская область,Талицкая,103,0,36887,4
77969,2126,Тверская область,"Тверь, Пролетарская",748,18,73317,5
79031,2282,Томская область,Cтрежевская городская,729,25,28714,4
42024,412,Оренбургская область,Первомайская,247,1,124760,5
48560,1012,Псковская область,Великолукская,415,9,16945,4
61498,1493,Республика Татарстан (Татарстан),Арская,1273,9,39122,4
51729,253,Республика Башкортостан,Шаранская,239,2,16520,4
68678,427,Самарская область,Кошкинская,319,10,14564,4
59621,1112,Республика Мордовия,Рузаевская,896,5,47811,4
701,618,Алтайский край,Павловская,328,10,205149,6
26351,656,Курганская область,Катайская,249,5,17460,4
81609,1455,Тюменская область,Упоровская,1208,0,14816,4
41736,187,Омская область,Усть-Ишимская,77,3,8651,4
45370,384,Пермский край,Оханская,149,5,11774,4
94901,1958,город Санкт-Петербург,Территориальная избирательная комиссия №25,668,24,98036,5
81170,653,Тюменская область,Голышмановская,593,0,18576,4
11220,487,Воронежская область,Воробьевская,477,0,12875,4
89013,547,Чувашская Республика - Чувашия,Моргаушская,369,7,22049,4
11130,256,Воронежская область,Богучарская,217,0,28973,4
92094,2030,город Москва,район Солнцево,719,16,57487,5
20196,2007,Кировская область,"Киров, Ленинская 2",831,16,94925,5
77755,1032,Тверская область,Конаковская,309,15,67947,5
778,213,Алтайский край,Романовская,106,1,20140,4
48322,16,Приморский край,Находкинская городская,16,0,119052,5
50759,94,Республика Башкортостан,Татышлинская,92,0,18438,4
16676,2049,Калужская область,Обнинская городская,616,19,90887,5
9088,2409,Вологодская область,Вологодская городская,942,19,250385,6
6675,743,Владимирская область,Камешковская,308,2,23756,4
95479,2065,город Санкт-Петербург,Территориальная избирательная комиссия №31,658,17,53637,5
62638,179,Республика Татарстан (Татарстан),Агрызская,175,0,24124,4
43088,553,Оренбургская область,Кваркенская,393,6,12006,4
44569,588,Пензенская область,Пензенская,404,0,54842,5
11651,1401,Еврейская автономная область,Биробиджанская городская,918,24,57979,5
63204,32,Республика Татарстан (Татарстан),Альметьевская городская,32,0,114447,5
70431,509,Саратовская область,Ивантеевская,331,5,10721,4
5582,437,Брянская область,Климовская,326,2,22829,4
44789,478,Пензенская область,Вадинская,290,41,6311,4
72123,2371,Свердловская область,"Екатеринбург, Верх-Исетская",1033,17,182120,6
42745,2031,Оренбургская область,"Оренбург, Промышленная",813,12,84391,5
10168,70,Воронежская область,Лискинская,69,0,81739,5
76937,336,Тамбовская область,Староюрьевская,220,0,10475,4
15377,1715,Иркутская область,Усть-Илимская городская,562,11,60439,5
72293,114,Свердловская область,"Екатеринбург, Ленинская",108,6,163460,6
7259,1694,Владимирская область,Радужная городская,714,15,13162,4
24497,1685,Красноярский край,Ачинская городская,527,15,79857,5
38908,218,Новосибирская область,Тогучинская,113,2,43194,4
4302,1056,Белгородская область,Белгородская районная,673,20,128195,5
29341,771,Липецкая область,Елецкая,661,2,21693,4
60150,801,Республика Саха (Якутия),Нерюнгринская,236,6,49279,4
69069,1055,Самарская область,Жигулевская городская,373,11,45983,4
42614,542,Оренбургская область,Матвеевская,332,0,9398,4
88896,358,Чувашская Республика - Чувашия,Вурнарская,267,10,19681,4
75439,925,Ставропольский край,Ипатовская,748,11,42871,4
